run	success	duration	cost	ftissue_gli	Kp_gli	GU__GLIABS_k	GU__MREABS_k	GU__MEXC_k	LI__GLI2M1_Vmax	LI__M1EX_k	LI__M12M2_k	LI__M2EX_k	KI__M1EX_k	KI__M2EX_k	message	x	x0
22	True	42.24362325668335	106.88094940708046	0.0007122088217576134	10.003710473967752	0.015902401681668198	0.015847412505930292	0.00017435085877713784	5.356981123272286e-05	0.07772379900247041	0.014840615953655387	99.99999987971815	0.14798471745280958	0.09832210179513014	`xtol` termination condition is satisfied.	"[7.12208822e-04 1.00037105e+01 1.59024017e-02 1.58474125e-02
 1.74350859e-04 5.35698112e-05 7.77237990e-02 1.48406160e-02
 9.99999999e+01 1.47984717e-01 9.83221018e-02]"	"[5.35482365e-01 3.61022525e+01 8.28394465e-02 2.52166308e-01
 3.27657090e-03 3.44487251e-04 6.73090235e+01 1.47150344e+00
 5.24722140e-02 3.59988962e-02 5.01585850e-01]"
8	True	69.59809303283691	106.8809734827872	0.000712736206404689	10.00007124783187	0.01590360965526552	0.015836973092322494	0.00017447025497882346	5.356460324936538e-05	0.07770045770776716	0.01483554081703817	99.99999999999994	0.14793822494570386	0.09830876982790136	`ftol` termination condition is satisfied.	"[7.12736206e-04 1.00000712e+01 1.59036097e-02 1.58369731e-02
 1.74470255e-04 5.35646032e-05 7.77004577e-02 1.48355408e-02
 1.00000000e+02 1.47938225e-01 9.83087698e-02]"	"[3.53427586e-04 1.08873557e+01 2.21992298e-04 9.54838134e-04
 1.69150654e-03 8.29641690e-04 4.44867467e-01 1.04660527e-03
 1.83874579e-02 5.88775320e-01 4.31820265e-02]"
19	True	61.14319467544556	106.88097460049593	0.0007127030897873601	10.000119177181071	0.01590395429893799	0.01584058897216379	0.00017447295547245325	5.3565518707753046e-05	0.07774141333768195	0.014839949155657107	99.99999999999994	0.1479697676395164	0.09831037100434997	`xtol` termination condition is satisfied.	"[7.12703090e-04 1.00001192e+01 1.59039543e-02 1.58405890e-02
 1.74472955e-04 5.35655187e-05 7.77414133e-02 1.48399492e-02
 1.00000000e+02 1.47969768e-01 9.83103710e-02]"	"[2.26393040e-04 1.38136481e+01 8.40976511e-02 4.55437221e-01
 1.16822047e-02 1.45661895e-07 1.43293531e-01 1.40293008e-03
 1.75096222e-02 3.98894130e-04 1.69965843e-01]"
74	True	44.58368730545044	106.8810183498354	0.0007127828011059416	10.000000002415874	0.015901502592959353	0.01582955678155266	0.00017442239050032997	5.356179926261592e-05	0.07758696165575052	0.014825367614145494	99.99359431082024	0.14786138158378995	0.09830673430376406	`xtol` termination condition is satisfied.	"[7.12782801e-04 1.00000000e+01 1.59015026e-02 1.58295568e-02
 1.74422391e-04 5.35617993e-05 7.75869617e-02 1.48253676e-02
 9.99935943e+01 1.47861382e-01 9.83067343e-02]"	"[3.14596829e-02 1.86506794e+01 1.22346346e-04 1.46289054e-02
 1.57235411e-01 4.64303687e-05 2.38769449e+01 4.72033564e-01
 3.07791171e-01 3.43934727e-04 3.33050854e-01]"
73	True	73.6605384349823	106.88102324291056	0.000712732066422281	10.00029489109171	0.01590264939870653	0.015834764606702682	0.00017443289488845772	5.356326117570749e-05	0.0776256414548076	0.014831064331085659	99.99999999999994	0.1479001831113331	0.0983117415905647	`xtol` termination condition is satisfied.	"[7.12732066e-04 1.00002949e+01 1.59026494e-02 1.58347646e-02
 1.74432895e-04 5.35632612e-05 7.76256415e-02 1.48310643e-02
 1.00000000e+02 1.47900183e-01 9.83117416e-02]"	"[7.97107781e-02 9.25024951e+02 3.31256873e-01 2.20606289e-03
 1.13787050e-02 5.31070493e-07 5.42388525e+01 4.91075169e-03
 5.72953273e+01 7.60587550e-03 1.13863482e-04]"
80	True	52.60041165351868	106.88105394789618	0.0007127514890557261	10.00000000000252	0.015902217306790457	0.015833998171776508	0.00017462384422832914	5.3562116720126416e-05	0.07763798072313606	0.014832721446142146	99.99999999980096	0.14791857370805384	0.09829781122668874	`xtol` termination condition is satisfied.	"[7.12751489e-04 1.00000000e+01 1.59022173e-02 1.58339982e-02
 1.74623844e-04 5.35621167e-05 7.76379807e-02 1.48327214e-02
 1.00000000e+02 1.47918574e-01 9.82978112e-02]"	"[4.18801583e-01 4.57396341e+01 1.34073850e-02 8.89872694e-04
 1.01268642e-01 7.72150218e-03 7.00008374e-01 8.67693453e-02
 1.42970566e-02 4.35467988e-03 3.16868166e-03]"
95	True	65.06712746620178	106.88108656410897	0.0007127909295865412	10.00000211603915	0.015904641640168162	0.015837161731930675	0.00017453199138070066	5.3563916160688765e-05	0.07771708586621022	0.014837623145916327	99.99999999999994	0.1479567810441307	0.09830492188592735	`xtol` termination condition is satisfied.	"[7.12790930e-04 1.00000021e+01 1.59046416e-02 1.58371617e-02
 1.74531991e-04 5.35639162e-05 7.77170859e-02 1.48376231e-02
 1.00000000e+02 1.47956781e-01 9.83049219e-02]"	"[5.34053005e-03 6.03469391e+01 4.06697804e-04 8.87590279e-01
 5.03065157e-04 9.00213134e-03 9.95873653e-01 1.72106936e+01
 4.50535736e+01 9.08735121e-04 4.27425599e-01]"
99	True	56.05078744888306	106.88112633513676	0.0007128948703297718	10.000000000051614	0.01590370672979648	0.01583346570992887	0.000174607681680964	5.356150228215706e-05	0.07771733643457693	0.014837209734490734	99.99999999997019	0.1479613271223472	0.0982984222547316	`xtol` termination condition is satisfied.	"[7.12894870e-04 1.00000000e+01 1.59037067e-02 1.58334657e-02
 1.74607682e-04 5.35615023e-05 7.77173364e-02 1.48372097e-02
 1.00000000e+02 1.47961327e-01 9.82984223e-02]"	"[2.35880633e-01 3.32284804e+01 3.11878532e-02 9.46375402e-04
 1.70793694e-03 1.66418000e-07 5.98903497e-03 1.76731884e-02
 1.00046312e-02 5.38733497e-04 6.42945164e-03]"
24	True	44.99766254425049	106.88130579804861	0.000713029800606038	10.000013937833675	0.0159035905070824	0.015830243934931713	0.00017509511352023312	5.35581187098166e-05	0.07763451960036159	0.014834396350699774	99.99999811812425	0.1479810875874375	0.0982634468427926	`ftol` termination condition is satisfied.	"[7.13029801e-04 1.00000139e+01 1.59035905e-02 1.58302439e-02
 1.75095114e-04 5.35581187e-05 7.76345196e-02 1.48343964e-02
 9.99999981e+01 1.47981088e-01 9.82634468e-02]"	"[2.45361635e-01 5.33466706e+01 1.56156763e-04 5.31132736e-01
 2.64966613e-04 3.36780052e-07 2.43927419e-01 5.80728776e+01
 1.89659210e+00 1.26358787e-02 2.88650598e-02]"
46	True	66.9342885017395	106.88161734284522	0.0007111991194407737	10.017799136217498	0.01590341029697448	0.015853215452375332	0.00017404621698586807	5.3575644061345564e-05	0.07772002444711787	0.014841447728865352	99.99999999999994	0.14796898278823548	0.0983500215737293	`ftol` termination condition is satisfied.	"[7.11199119e-04 1.00177991e+01 1.59034103e-02 1.58532155e-02
 1.74046217e-04 5.35756441e-05 7.77200244e-02 1.48414477e-02
 1.00000000e+02 1.47968983e-01 9.83500216e-02]"	"[1.34578156e-04 1.85948837e+01 1.20315176e-04 2.45474545e-01
 2.04898843e-04 2.15097722e-03 3.07209254e-01 8.64388496e+00
 1.06641377e+01 8.70191793e-03 2.90352034e-04]"
20	True	50.639089584350586	106.88212533207255	0.0007135524984402282	10.000000000101764	0.01590425190609824	0.015812443616344943	0.00017600349744759138	5.354380646560095e-05	0.07758367110804869	0.01483392725282815	99.99999999999984	0.14797892503701257	0.09820874924463738	`xtol` termination condition is satisfied.	"[7.13552498e-04 1.00000000e+01 1.59042519e-02 1.58124436e-02
 1.76003497e-04 5.35438065e-05 7.75836711e-02 1.48339273e-02
 1.00000000e+02 1.47978925e-01 9.82087492e-02]"	"[6.35890244e-02 1.03192365e+01 4.95448727e-03 6.94009891e-02
 2.00531505e-02 1.20169956e-05 4.36991776e-01 2.16898585e+01
 5.27883837e+01 1.32104514e-04 1.79155613e-02]"
10	True	58.358694314956665	107.17604862030291	0.0008063263473062082	10.001469324578345	0.016106973485690006	0.012869968340088422	0.98342593631157	5.1565616122226275e-05	0.07555218025269357	0.014321374275626988	99.99999999999943	0.14694675698587586	0.09316847761620164	`xtol` termination condition is satisfied.	"[8.06326347e-04 1.00014693e+01 1.61069735e-02 1.28699683e-02
 9.83425936e-01 5.15656161e-05 7.55521803e-02 1.43213743e-02
 1.00000000e+02 1.46946757e-01 9.31684776e-02]"	"[5.85112535e-02 2.03647989e+01 3.72962168e-03 1.54421440e-04
 1.35772129e-03 3.27738198e-06 6.07031415e-02 4.15608861e-01
 2.68530925e-03 2.32245890e-01 1.42633881e-02]"
33	True	29.955797910690308	107.33168059262267	0.0005504387054525178	13.861840497785405	0.015907733895436347	0.012878568510812042	0.005479153752084106	5.157293707468484e-05	0.07540638868958617	0.014347682802210613	99.72418580888244	0.14902217284513217	0.09533387329187153	`xtol` termination condition is satisfied.	"[5.50438705e-04 1.38618405e+01 1.59077339e-02 1.28785685e-02
 5.47915375e-03 5.15729371e-05 7.54063887e-02 1.43476828e-02
 9.97241858e+01 1.49022173e-01 9.53338733e-02]"	"[8.99945029e-02 2.56546002e+01 4.88622099e-02 8.86643275e-02
 1.07969820e-02 1.18032336e-04 3.50695828e+01 3.32049152e-01
 1.81884352e+00 2.30521508e-02 1.67883405e-03]"
98	True	48.06834888458252	107.35155348182467	0.0005055188373362017	14.88843492242062	0.015875273954451413	0.012906713456656954	0.6727984853431453	5.1619860007666754e-05	0.07504335785537346	0.014383239286103454	99.73424631041428	0.15001701232267015	0.09593345609239931	`xtol` termination condition is satisfied.	"[5.05518837e-04 1.48884349e+01 1.58752740e-02 1.29067135e-02
 6.72798485e-01 5.16198600e-05 7.50433579e-02 1.43832393e-02
 9.97342463e+01 1.50017012e-01 9.59334561e-02]"	"[4.13975986e-02 2.85866038e+02 4.53824024e-03 5.21120308e-04
 9.99682106e-04 6.13799290e-07 4.05665128e+00 5.72248637e+01
 2.10449023e+00 3.07680881e-02 3.43375316e-03]"
94	True	43.28570485115051	107.35618875986299	0.00047672366949800393	15.681854119549978	0.015831614264936	0.012884281763414166	0.0010376787835495649	5.163615008485225e-05	0.07501024599975316	0.014350968760390366	99.81199902231644	0.14993324918034662	0.09650277786376754	`xtol` termination condition is satisfied.	"[4.76723669e-04 1.56818541e+01 1.58316143e-02 1.28842818e-02
 1.03767878e-03 5.16361501e-05 7.50102460e-02 1.43509688e-02
 9.98119990e+01 1.49933249e-01 9.65027779e-02]"	"[8.58515622e-01 2.44205163e+02 9.16112250e-01 1.18758101e-01
 6.91204313e-03 3.36232388e-05 1.08274048e+01 7.71808870e-03
 3.84574659e-01 5.36182004e-01 1.18666074e-01]"
12	True	26.721057415008545	107.35669048492652	0.00048502736701739886	15.454347343111188	0.01584548851753641	0.012852973405313241	0.004095086842373054	5.1613200243730264e-05	0.07504721317656562	0.014341283440835377	93.77130466521245	0.1497780694341296	0.09628230405470216	`xtol` termination condition is satisfied.	"[4.85027367e-04 1.54543473e+01 1.58454885e-02 1.28529734e-02
 4.09508684e-03 5.16132002e-05 7.50472132e-02 1.43412834e-02
 9.37713047e+01 1.49778069e-01 9.62823041e-02]"	"[2.09562925e-03 3.00556411e+01 1.50190663e-04 8.03830485e-03
 2.14580237e-03 9.61145933e-07 4.53056756e+01 1.73036060e+00
 1.97571853e-01 7.79790779e-02 4.75356454e-02]"
31	True	43.6414361000061	107.35933549000474	0.00046202257213486284	16.15275255690008	0.015820141241719272	0.012771095917397461	0.4540474953791577	5.160555509126698e-05	0.07527596890954716	0.014306820688535353	80.14918301393611	0.14956068001449704	0.09669714269328222	`xtol` termination condition is satisfied.	"[4.62022572e-04 1.61527526e+01 1.58201412e-02 1.27710959e-02
 4.54047495e-01 5.16055551e-05 7.52759689e-02 1.43068207e-02
 8.01491830e+01 1.49560680e-01 9.66971427e-02]"	"[2.78428001e-04 1.39539148e+01 9.52374700e-01 1.26523238e-03
 1.46927357e-01 1.21555539e-03 2.05040867e+01 4.59341787e-02
 3.24970194e-03 3.69266239e-04 7.70330965e-03]"
57	True	43.099817514419556	107.36155176484091	0.00045280386660360273	16.425412245532392	0.01581009772517676	0.01279328558142015	0.0019487241083559587	5.1628503829397996e-05	0.07515542155466189	0.014313378417686562	63.78773837726311	0.1497937363671973	0.09688757369081925	Both `ftol` and `xtol` termination conditions are satisfied.	"[4.52803867e-04 1.64254122e+01 1.58100977e-02 1.27932856e-02
 1.94872411e-03 5.16285038e-05 7.51554216e-02 1.43133784e-02
 6.37877384e+01 1.49793736e-01 9.68875737e-02]"	"[6.34941291e-04 1.26452603e+01 5.69388989e-01 9.60682130e-03
 5.75161863e-03 2.71763549e-07 3.72021915e+00 3.60438195e+01
 2.56494636e+00 3.71437077e-02 4.92712036e-03]"
41	True	32.519031286239624	107.3660692686557	0.0003926192588203483	18.574058293958213	0.015755487584447978	0.012817830087352454	0.04721800149581792	5.172556585185373e-05	0.07493743544709339	0.014366437596328392	99.97795578943803	0.15127209064492772	0.09824277962673914	`xtol` termination condition is satisfied.	"[3.92619259e-04 1.85740583e+01 1.57554876e-02 1.28178301e-02
 4.72180015e-02 5.17255659e-05 7.49374354e-02 1.43664376e-02
 9.99779558e+01 1.51272091e-01 9.82427796e-02]"	"[1.51831876e-02 1.82561768e+02 3.99258557e-03 1.38213521e-02
 1.09133690e-03 1.39113590e-06 6.49194130e-02 9.38438372e-02
 4.25617992e-01 6.87099097e-04 1.61580389e-03]"
